entityASlug,entityA,ownership,entityB,entityBSlug,role,year
trump-marks-white-plains-llc,Trump Marks White Plains LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-miami-resort-management-llc,Trump Miami Resort Management LLC,1,Trump Miami Resort Management Member Corp,trump-miami-resort-management-member-corp,Managing Member,2016
trump-miami-resort-management-llc,Trump Miami Resort Management LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-miami-resort-management-member-corp,Trump Miami Resort Management Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-model-management-llc,Trump Model Management LLC,15,ANNIE VELTRI,annie-veltri,Member,2016
trump-model-management-llc,Trump Model Management LLC,85,"TMG Member, LLC",tmg-member-llc,Member,2016
trump-national-golf-club-colts-neck,Trump National Golf Club Colts Neck LLC,1,Trump National Golf Club Colts Neck Member Corp,trump-national-golf-club-colts-neck-member-corp,Managing Member,2016
trump-national-golf-club-colts-neck,Trump National Golf Club Colts Neck LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-national-golf-club-colts-neck-member-corp,Trump National Golf Club Colts Neck Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-national-golf-club-westchester,Trump National Golf Club LLC (Trump National Golf Club - Westchester),1,Trump National Golf Club Member Corp,trump-national-golf-club-member-corp,Managing Member,2016
trump-national-golf-club-westchester,Trump National Golf Club LLC (Trump National Golf Club - Westchester),99,DJT Holdings LLC,djt-holdings-llc,Managing Member,2016
trump-national-golf-club-member-corp,Trump National Golf Club Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-national-golf-club-washington-dc,TRUMP NATIONAL GOLF CLUB - WASHINGTON DC,1,Trump National Golf Club Washington DC Member Corp,trump-national-golf-club-washington-dc-member-corp,Managing Member,2016
trump-national-golf-club-washington-dc,TRUMP NATIONAL GOLF CLUB - WASHINGTON DC,99,DJT Holdings LLC,djt-holdings-llc,,2016
trump-national-golf-club-washington-dc-member-corp,Trump National Golf Club Washington DC Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-new-world-property-management-llc,Trump/New World Property Management LLC,50,NEW WORLD PROPERTY MANAGEMENT LIMITED,new-world-property-management-limited,Managing Member,2016
trump-new-world-property-management-llc,Trump/New World Property Management LLC,50,Trump Riverside Management LLC,trump-riverside-management-llc,Managing Member,2016
trump-ocean-manager-inc,Trump Ocean Manager Inc,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-ocean-managing-member-llc,Trump Ocean Managing Member LLC,1,Trump Ocean Manager Inc,trump-ocean-manager-inc,Managing Member,2016
trump-ocean-managing-member-llc,Trump Ocean Managing Member LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-old-post-office-llc,Trump Old Post Office LLC,1,Trump Old Post Office Member Corp,trump-old-post-office-member-corp,Managing Member,2016
trump-old-post-office-llc,Trump Old Post Office LLC,76.725,DJT Holdings LLC,djt-holdings-llc,Member,2016
trump-old-post-office-llc,Trump Old Post Office LLC,22.275,TRUMP FAMILY MEMBERS,trump-family-members,Member,2016
trump-old-post-office-member-corp,Trump Old Post Office Member Corp,77.5,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-old-post-office-member-corp,Trump Old Post Office Member Corp,22.5,TRUMP FAMILY MEMBERS,trump-family-members,,2016
trump-on-the-ocean-llc,Trump On the Ocean LLC,25,SMC OCEAN LLC,smc-ocean-llc,Member,2016
trump-on-the-ocean-llc,Trump On the Ocean LLC,75,Trump Ocean Managing Member LLC,trump-ocean-managing-member-llc,Managing Member,2016
trump-organization-llc,Trump Organization LLC,100,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-pageants-inc,"Trump Pageants, Inc",100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
miss-universe-lp-lllp,"Miss Universe LP, LLLP (Formerly Trump Pageants, LP)",2,"Trump Pageants, Inc",trump-pageants-inc,Partner,2016
miss-universe-lp-lllp,"Miss Universe LP, LLLP (Formerly Trump Pageants, LP)",98,"TRUMP, DONALD J.",trump-donald-j,Partner,2016
trump-palaceparc-llc,Trump Palace/Parc LLC,0.1,"First Member, Inc.",first-member-inc,Managing Member,2016
trump-palaceparc-llc,Trump Palace/Parc LLC,99.9,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-panama-condominium-management-llc,Trump Panama Condominium Management LLC,1,Trump Panama Condominium Member Corp,trump-panama-condominium-member-corp,Managing Member,2016
trump-panama-condominium-management-llc,Trump Panama Condominium Management LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-panama-condominium-member-corp,Trump Panama Condominium Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-panama-hotel-management-llc,Trump Panama Hotel Management LLC,1,Trump Panama Hotel Management Member Corp,trump-panama-hotel-management-member-corp,Managing Member,2016
trump-panama-hotel-management-llc,Trump Panama Hotel Management LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-panama-hotel-management-member-corp,Trump Panama Hotel Management Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-park-avenue-acquisition-llc,Trump Park Avenue Acquisition LLC,100,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-park-avenue-llc,Trump Park Avenue LLC,0.1,GEPT DELMONICO LLC,gept-delmonico-llc,Member,2016
trump-park-avenue-llc,Trump Park Avenue LLC,49.9,Trump Park Avenue Acquisition LLC,trump-park-avenue-acquisition-llc,Member,2016
trump-park-avenue-llc,Trump Park Avenue LLC,50,Trump Delmonico LLC,trump-delmonico-llc,Managing Member,2016
trump-payroll-chicago-llc,Trump Payroll Chicago LLC,100,401 North Wabash Venture LLC,401-north-wabash-venture-llc,Managing Member,2016
trump-payroll-corp,Trump Payroll Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-phoenix-development-llc,Trump Phoenix Development LLC,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-plaza-llc,Trump Plaza LLC,1,Trump Plaza Member Inc. (F/K/A Trump Plaza Corp),trump-plaza-member-inc,Managing Member,2016
trump-plaza-llc,Trump Plaza LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-plaza-member-inc,Trump Plaza Member Inc. (F/K/A Trump Plaza Corp),100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-productions-llc,Trump Productions LLC (Former Rancho Lien LLC),1,Trump Productions Managing Member Inc,trump-productions-managing-member-inc,Managing Member,2016
trump-productions-llc,Trump Productions LLC (Former Rancho Lien LLC),99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-productions-managing-member-inc,Trump Productions Managing Member Inc,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-project-management-corp,Trump Project Management Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-realty-services-llc,Trump Realty Services LLC (f/k/a Trump Mortgage Services LLC (03) & Tower Mortgage Services LLC),100,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-restaurants-llc,Trump Restaurants LLC,100,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-riverside-management-llc,Trump Riverside Management LLC,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-ruffin-commercial-llc,Trump Ruffin Commercial LLC,100,Trump Ruffin Tower I LLC,trump-ruffin-tower-i-llc,Managing Member,2016
trump-ruffin-llc,Trump Ruffin LLC,1,Trump Las Vegas Managing Member LLC,trump-las-vegas-managing-member-llc,Managing Member,2016
trump-ruffin-llc,Trump Ruffin LLC,49,Trump Las Vegas Member LLC,trump-las-vegas-member-llc,Member,2016
trump-ruffin-llc,Trump Ruffin LLC,50,"HYDE PARK, LLC",hyde-park-llc,Member,2016
trump-ruffin-tower-i-llc,Trump Ruffin Tower I LLC,100,Trump Ruffin LLC,trump-ruffin-llc,Managing Member,2016
trump-sales-leasing-chicago-llc,Trump Sales & Leasing Chicago LLC,1,Trump Sales & Leasing Chicago Member Corp,trump-sales-leasing-chicago-member-corp,Member,2016
trump-sales-leasing-chicago-llc,Trump Sales & Leasing Chicago LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-sales-leasing-chicago-member-corp,Trump Sales & Leasing Chicago Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-scotland-member-inc,Trump Scotland Member Inc,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-scotsborough-square-llc,Trump Scotsborough Square LLC,1,Trump Scotsborough Square Member Corp,trump-scotsborough-square-member-corp,Managing Member,2016
trump-scotsborough-square-llc,Trump Scotsborough Square LLC,99,DJT Holdings LLC,djt-holdings-llc,Member,2016
trump-scotsborough-square-member-corp,Trump Scotsborough Square Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-soho-member-llc,Trump Soho Member LLC,100,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-toronto-development-inc,Trump Toronto Development Inc,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-toronto-hotel-management-corp,Trump Toronto Hotel Management Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-toronto-member-corp,Trump Toronto Member Corp (formally Trump Toronto Management Member Corp),100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-tower-commercial-llc,Trump Tower Commercial LLC,1,Trump Tower Managing Member Inc,trump-tower-managing-member-inc,Managing Member,2016
